progressBand,idleStageMin,idleStageMax,mapTierMin,mapTierMax,allowedTierMin,allowedTierMax,tierBias,qualityMultiplier,weightNormal,weightMagic,weightRare,weightMythic,description
1,1,9,1,1,6,8,0.00,1.00,35,45,15,5,Early: generous casual drops; mostly weak affixes (T6-T8)
2,10,19,1,2,5,8,0.05,1.03,30,45,18,7,Slightly wider toward mid
3,20,34,2,3,4,7,0.10,1.06,25,42,23,10,Worst tail (T8) starts phasing out
4,35,49,3,4,3,7,0.15,1.10,20,40,27,13,Mid pool tightening
5,50,69,4,5,3,6,0.20,1.14,15,37,32,16,Weak high tiers less common
6,70,89,5,6,2,6,0.25,1.18,10,33,37,20,Shift toward strong rolls
7,90,114,6,7,2,5,0.30,1.23,5,28,42,25,High-mid quality baseline
8,115,139,7,8,1,5,0.35,1.28,2,22,48,28,End-demo prep
9,140,169,8,9,1,4,0.40,1.34,0,12,58,30,Very strong bias
10,170,999,9,99,1,3,0.45,1.40,0,0,70,30,Late: only Rare/Mythic; best tiers (T1-T3)
